Date,Time,date_time,relative_humidity,altimeter,air_temp
07/10/23,04:47PM,07/10/23-04:47PM,53.62,29.94,75.2
07/10/23,03:47PM,07/10/23-03:47PM,73.32,29.96,71.6
07/10/23,02:47PM,07/10/23-02:47PM,82.65,29.96,64.4
07/10/23,01:55PM,07/10/23-01:55PM,82.4,29.94,60.8
07/10/23,02:51AM,07/10/23-02:51AM,72.6,29.88,64.4
07/10/23,01:47AM,07/10/23-01:47AM,72.78,29.88,66.2
07/10/23,12:47AM,07/10/23-12:47AM,68.61,29.89,69.8
07/09/23,11:47PM,07/09/23-11:47PM,68.61,29.89,69.8
07/09/23,10:47PM,07/09/23-10:47PM,64.54,29.9,71.6
07/09/23,09:47PM,07/09/23-09:47PM,60.75,29.92,73.4
07/09/23,08:47PM,07/09/23-08:47PM,57.2,29.93,75.2
07/09/23,07:47PM,07/09/23-07:47PM,57.2,29.94,75.2
07/09/23,06:53PM,07/09/23-06:53PM,53.62,29.95,75.2
07/09/23,05:47PM,07/09/23-05:47PM,60.51,29.95,71.6
07/09/23,04:47PM,07/09/23-04:47PM,64.32,29.94,69.8
07/09/23,03:47PM,07/09/23-03:47PM,72.78,29.93,66.2
07/09/23,02:47PM,07/09/23-02:47PM,77.48,29.93,64.4
07/09/23,01:52PM,07/09/23-01:52PM,82.52,29.91,62.6
07/09/23,02:47AM,07/09/23-02:47AM,77.48,29.82,64.4
07/09/23,01:47AM,07/09/23-01:47AM,72.78,29.82,66.2
07/09/23,12:47AM,07/09/23-12:47AM,64.32,29.82,69.8
07/08/23,11:47PM,07/08/23-11:47PM,60.51,29.83,71.6
07/08/23,10:49PM,07/08/23-10:49PM,56.95,29.84,73.4
07/08/23,09:47PM,07/08/23-09:47PM,56.95,29.84,73.4
07/08/23,08:59PM,07/08/23-08:59PM,53.62,29.84,75.2
07/08/23,07:56PM,07/08/23-07:56PM,53.62,29.85,75.2
07/08/23,05:47PM,07/08/23-05:47PM,53.36,29.87,73.4
07/08/23,04:47PM,07/08/23-04:47PM,56.7,29.87,71.6
07/08/23,04:00PM,07/08/23-04:00PM,64.32,29.88,69.8
07/08/23,02:50PM,07/08/23-02:50PM,77.48,29.87,64.4
07/08/23,01:57PM,07/08/23-01:57PM,88.02,29.86,62.6
07/08/23,02:50AM,07/08/23-02:50AM,82.52,29.81,62.6
07/08/23,01:47AM,07/08/23-01:47AM,72.78,29.8,66.2
07/08/23,12:47AM,07/08/23-12:47AM,68.41,29.81,68
07/07/23,11:47PM,07/07/23-11:47PM,60.51,29.81,71.6
07/07/23,10:47PM,07/07/23-10:47PM,60.51,29.83,71.6
07/07/23,09:47PM,07/07/23-09:47PM,56.95,29.85,73.4
07/07/23,08:48PM,07/07/23-08:48PM,56.95,29.86,73.4
07/07/23,07:47PM,07/07/23-07:47PM,53.36,29.87,73.4
07/07/23,06:47PM,07/07/23-06:47PM,49.97,29.89,73.4
07/07/23,05:50PM,07/07/23-05:50PM,53.36,29.9,73.4
07/07/23,04:48PM,07/07/23-04:48PM,60.27,29.9,69.8
07/07/23,03:47PM,07/07/23-03:47PM,68.2,29.9,66.2
07/07/23,02:49PM,07/07/23-02:49PM,72.6,29.89,64.4
07/07/23,01:47PM,07/07/23-01:47PM,82.4,29.89,60.8
07/07/23,02:50AM,07/07/23-02:50AM,82.4,29.87,60.8
07/07/23,01:47AM,07/07/23-01:47AM,72.6,29.87,64.4
07/07/23,12:57AM,07/07/23-12:57AM,68.41,29.87,68
07/06/23,11:55PM,07/06/23-11:55PM,60.51,29.88,71.6
07/06/23,10:47PM,07/06/23-10:47PM,56.95,29.89,73.4
07/06/23,09:47PM,07/06/23-09:47PM,56.95,29.9,73.4
07/06/23,08:51PM,07/06/23-08:51PM,53.62,29.94,75.2
07/06/23,07:47PM,07/06/23-07:47PM,53.62,29.94,75.2
07/06/23,06:49PM,07/06/23-06:49PM,53.62,29.94,75.2
07/06/23,05:47PM,07/06/23-05:47PM,53.36,29.95,73.4
07/06/23,04:47PM,07/06/23-04:47PM,60.51,29.96,71.6
07/06/23,03:52PM,07/06/23-03:52PM,72.78,29.96,66.2
07/06/23,02:47PM,07/06/23-02:47PM,93.84,29.95,62.6
07/06/23,01:47PM,07/06/23-01:47PM,87.94,29.94,60.8
07/06/23,02:47AM,07/06/23-02:47AM,82.4,29.92,60.8
07/06/23,01:51AM,07/06/23-01:51AM,77.48,29.91,64.4
07/06/23,12:47AM,07/06/23-12:47AM,68.41,29.9,68
07/05/23,11:53PM,07/05/23-11:53PM,64.32,29.9,69.8
07/05/23,10:47PM,07/05/23-10:47PM,60.51,29.91,71.6
07/05/23,09:52PM,07/05/23-09:52PM,60.51,29.93,71.6
07/05/23,08:47PM,07/05/23-08:47PM,56.7,29.95,71.6
07/05/23,07:47PM,07/05/23-07:47PM,56.7,29.96,71.6
07/05/23,06:50PM,07/05/23-06:50PM,56.7,29.96,71.6
07/05/23,05:48PM,07/05/23-05:48PM,56.7,29.97,71.6
07/05/23,04:47PM,07/05/23-04:47PM,53.1,29.97,71.6
07/05/23,03:50PM,07/05/23-03:50PM,68.2,29.98,66.2
07/05/23,02:49PM,07/05/23-02:49PM,77.33,29.98,62.6
07/05/23,01:50PM,07/05/23-01:50PM,77.33,29.97,62.6
07/05/23,02:50AM,07/05/23-02:50AM,82.4,29.92,60.8
07/05/23,01:52AM,07/05/23-01:52AM,72.78,29.91,66.2
07/05/23,12:47AM,07/05/23-12:47AM,68.41,29.91,68
07/04/23,11:47PM,07/04/23-11:47PM,56.7,29.91,71.6
07/04/23,10:47PM,07/04/23-10:47PM,60.51,29.92,71.6
07/04/23,09:47PM,07/04/23-09:47PM,64.32,29.93,69.8
07/04/23,08:47PM,07/04/23-08:47PM,56.95,29.95,73.4
07/04/23,07:52PM,07/04/23-07:52PM,56.95,29.96,73.4
07/04/23,06:47PM,07/04/23-06:47PM,56.95,29.96,73.4
07/04/23,05:47PM,07/04/23-05:47PM,56.95,29.95,73.4
07/04/23,04:50PM,07/04/23-04:50PM,64.54,29.96,71.6
07/04/23,03:48PM,07/04/23-03:48PM,82.65,29.94,64.4
07/04/23,02:49PM,07/04/23-02:49PM,77.33,29.94,62.6
07/04/23,01:59PM,07/04/23-01:59PM,93.75,29.93,59
07/04/23,02:47AM,07/04/23-02:47AM,87.94,29.88,60.8
07/04/23,01:55AM,07/04/23-01:55AM,77.48,29.86,64.4
07/04/23,12:47AM,07/04/23-12:47AM,72.78,29.86,66.2
07/03/23,09:47PM,07/03/23-09:47PM,68.81,29.89,71.6
07/03/23,08:47PM,07/03/23-08:47PM,64.76,29.9,73.4
07/03/23,06:50PM,07/03/23-06:50PM,64.76,29.93,73.4
07/03/23,05:47PM,07/03/23-05:47PM,73.32,29.93,71.6
07/03/23,04:47PM,07/03/23-04:47PM,93.94,29.93,66.2
07/03/23,03:48PM,07/03/23-03:48PM,100,29.92,64.4
07/03/23,02:47PM,07/03/23-02:47PM,100,29.91,62.6
07/03/23,01:55PM,07/03/23-01:55PM,100,29.89,60.8
07/03/23,02:54AM,07/03/23-02:54AM,93.8,29.88,60.8
07/03/23,01:47AM,07/03/23-01:47AM,82.65,29.87,64.4
07/03/23,12:49AM,07/03/23-12:49AM,77.64,29.87,66.2
07/02/23,11:47PM,07/02/23-11:47PM,68.61,29.87,69.8
07/02/23,10:47PM,07/02/23-10:47PM,73.15,29.88,69.8
07/02/23,09:47PM,07/02/23-09:47PM,68.81,29.9,71.6
07/02/23,08:47PM,07/02/23-08:47PM,68.81,29.91,71.6
07/02/23,07:47PM,07/02/23-07:47PM,69.01,29.92,73.4
07/02/23,06:47PM,07/02/23-06:47PM,73.32,29.93,71.6
07/02/23,06:28PM,07/02/23-06:28PM,73.32,29.93,71.6
07/02/23,05:47PM,07/02/23-05:47PM,83.01,29.94,69.8
07/02/23,04:47PM,07/02/23-04:47PM,93.89,29.93,64.4
07/02/23,03:47PM,07/02/23-03:47PM,93.89,29.93,64.4
07/02/23,02:48PM,07/02/23-02:48PM,100,29.92,62.6
07/02/23,01:54PM,07/02/23-01:54PM,93.84,29.91,62.6
07/02/23,02:48AM,07/02/23-02:48AM,82.52,29.89,62.6
07/02/23,01:50AM,07/02/23-01:50AM,77.64,29.88,66.2
07/02/23,12:47AM,07/02/23-12:47AM,82.77,29.87,66.2
07/01/23,10:48PM,07/01/23-10:48PM,68.81,29.88,71.6
07/01/23,09:55PM,07/01/23-09:55PM,64.76,29.88,73.4
07/01/23,08:48PM,07/01/23-08:48PM,64.76,29.9,73.4
07/01/23,07:48PM,07/01/23-07:48PM,64.76,29.91,73.4
07/01/23,06:48PM,07/01/23-06:48PM,64.76,29.92,73.4
07/01/23,05:48PM,07/01/23-05:48PM,68.81,29.92,71.6
07/01/23,05:34PM,07/01/23-05:34PM,60.98,29.91,75.2
07/01/23,04:47PM,07/01/23-04:47PM,60.98,29.91,75.2
07/01/23,03:56PM,07/01/23-03:56PM,88.37,29.91,69.8
07/01/23,02:50PM,07/01/23-02:50PM,93.84,29.91,62.6
07/01/23,01:55PM,07/01/23-01:55PM,93.84,29.9,62.6
07/01/23,01:47AM,07/01/23-01:47AM,77.48,29.83,64.4
06/30/23,11:47PM,06/30/23-11:47PM,64.32,29.84,69.8
06/30/23,10:47PM,06/30/23-10:47PM,64.32,29.84,69.8
06/30/23,09:49PM,06/30/23-09:49PM,64.32,29.86,69.8
06/30/23,08:49PM,06/30/23-08:49PM,64.54,29.87,71.6
06/30/23,07:47PM,06/30/23-07:47PM,68.81,29.9,71.6
06/30/23,06:47PM,06/30/23-06:47PM,57.2,29.91,75.2
06/30/23,05:47PM,06/30/23-05:47PM,60.98,29.92,75.2
06/30/23,04:49PM,06/30/23-04:49PM,82.89,29.94,68
06/30/23,03:50PM,06/30/23-03:50PM,88.11,29.94,64.4
06/30/23,02:56PM,06/30/23-02:56PM,100,29.94,62.6
06/30/23,01:50PM,06/30/23-01:50PM,93.84,29.92,62.6
06/30/23,02:47AM,06/30/23-02:47AM,77.48,29.87,64.4
06/30/23,01:59AM,06/30/23-01:59AM,72.78,29.86,66.2
06/30/23,12:47AM,06/30/23-12:47AM,68.41,29.86,68
06/29/23,11:47PM,06/29/23-11:47PM,64.32,29.86,69.8
06/29/23,10:48PM,06/29/23-10:48PM,60.51,29.87,71.6
06/29/23,10:01PM,06/29/23-10:01PM,56.95,29.88,73.4
06/29/23,08:47PM,06/29/23-08:47PM,50.25,29.9,75.2
06/29/23,07:56PM,06/29/23-07:56PM,53.62,29.92,75.2
06/29/23,06:48PM,06/29/23-06:48PM,44.61,29.94,78.8
06/29/23,05:47PM,06/29/23-05:47PM,53.36,29.95,73.4
06/29/23,04:48PM,06/29/23-04:48PM,53.1,29.95,71.6
06/29/23,03:47PM,06/29/23-03:47PM,68.2,29.95,66.2
06/29/23,02:47PM,06/29/23-02:47PM,72.6,29.94,64.4
06/29/23,01:50PM,06/29/23-01:50PM,82.4,29.94,60.8
06/29/23,02:50AM,06/29/23-02:50AM,77.33,29.87,62.6
06/29/23,01:50AM,06/29/23-01:50AM,72.78,29.86,66.2
06/28/23,11:48PM,06/28/23-11:48PM,64.32,29.87,69.8
06/28/23,10:56PM,06/28/23-10:56PM,60.51,29.87,71.6
06/28/23,09:47PM,06/28/23-09:47PM,60.51,29.89,71.6
06/28/23,08:59PM,06/28/23-08:59PM,53.62,29.89,75.2
06/28/23,08:08PM,06/28/23-08:08PM,53.62,29.92,75.2
06/28/23,06:48PM,06/28/23-06:48PM,56.7,29.93,71.6
06/28/23,05:50PM,06/28/23-05:50PM,68.41,29.93,68
06/28/23,04:52PM,06/28/23-04:52PM,72.78,29.93,66.2
06/28/23,04:25PM,06/28/23-04:25PM,77.48,29.93,64.4
06/28/23,03:50PM,06/28/23-03:50PM,82.52,29.93,62.6
06/28/23,02:47PM,06/28/23-02:47PM,88.02,29.93,62.6
06/28/23,01:52PM,06/28/23-01:52PM,87.94,29.92,60.8
06/28/23,02:47AM,06/28/23-02:47AM,77.33,29.84,62.6
06/28/23,01:47AM,06/28/23-01:47AM,72.78,29.84,66.2
06/28/23,12:47AM,06/28/23-12:47AM,68.41,29.83,68
06/27/23,11:49PM,06/27/23-11:49PM,64.32,29.84,69.8
06/27/23,10:47PM,06/27/23-10:47PM,60.51,29.85,71.6
06/27/23,09:55PM,06/27/23-09:55PM,60.51,29.86,71.6
06/27/23,08:47PM,06/27/23-08:47PM,56.95,29.87,73.4
06/27/23,07:50PM,06/27/23-07:50PM,60.51,29.88,71.6
06/27/23,06:47PM,06/27/23-06:47PM,56.95,29.89,73.4
06/27/23,05:47PM,06/27/23-05:47PM,56.95,29.89,73.4
06/27/23,04:47PM,06/27/23-04:47PM,56.7,29.89,71.6
06/27/23,03:47PM,06/27/23-03:47PM,60.27,29.9,69.8
06/27/23,02:48PM,06/27/23-02:48PM,82.65,29.9,64.4
06/27/23,01:56PM,06/27/23-01:56PM,87.94,29.89,60.8
06/27/23,02:47AM,06/27/23-02:47AM,67.99,29.87,64.4
06/27/23,01:47AM,06/27/23-01:47AM,72.78,29.88,66.2
06/27/23,12:49AM,06/27/23-12:49AM,72.78,29.88,66.2
06/26/23,11:47PM,06/26/23-11:47PM,64.32,29.89,69.8
06/26/23,10:50PM,06/26/23-10:50PM,60.51,29.9,71.6
06/26/23,09:50PM,06/26/23-09:50PM,56.7,29.9,71.6
06/26/23,08:51PM,06/26/23-08:51PM,56.95,29.93,73.4
06/26/23,07:47PM,06/26/23-07:47PM,53.36,29.95,73.4
06/26/23,06:48PM,06/26/23-06:48PM,53.62,29.96,75.2
06/26/23,05:52PM,06/26/23-05:52PM,53.36,29.97,73.4
06/26/23,04:51PM,06/26/23-04:51PM,56.44,29.98,69.8
06/26/23,03:47PM,06/26/23-03:47PM,64.32,29.99,69.8
06/26/23,02:53PM,06/26/23-02:53PM,72.6,29.96,64.4
06/26/23,02:47AM,06/26/23-02:47AM,72.42,29.96,62.6
06/26/23,01:47AM,06/26/23-01:47AM,63.87,29.97,66.2
06/26/23,12:52AM,06/26/23-12:52AM,68.2,29.98,66.2
06/25/23,11:47PM,06/25/23-11:47PM,60.27,29.99,69.8
06/25/23,10:59PM,06/25/23-10:59PM,56.7,30,71.6
06/25/23,09:51PM,06/25/23-09:51PM,56.7,30.03,71.6
06/25/23,09:15PM,06/25/23-09:15PM,53.36,30.03,73.4
06/25/23,08:51PM,06/25/23-08:51PM,56.7,30.03,71.6
06/25/23,07:47PM,06/25/23-07:47PM,53.36,30.05,73.4
06/25/23,06:47PM,06/25/23-06:47PM,50.25,30.06,75.2
06/25/23,05:47PM,06/25/23-05:47PM,47.06,30.07,75.2
06/25/23,04:49PM,06/25/23-04:49PM,60.03,30.07,68
06/25/23,03:51PM,06/25/23-03:51PM,72.78,30.07,66.2
06/25/23,02:56PM,06/25/23-02:56PM,88.02,30.07,62.6
06/25/23,01:49PM,06/25/23-01:49PM,93.75,30.06,59
06/25/23,02:49AM,06/25/23-02:49AM,77.33,30.01,62.6
06/25/23,01:50AM,06/25/23-01:50AM,72.6,30.01,64.4
06/25/23,12:47AM,06/25/23-12:47AM,68.2,30.02,66.2
06/24/23,11:47PM,06/24/23-11:47PM,64.32,30.01,69.8
06/24/23,10:58PM,06/24/23-10:58PM,60.51,30.01,71.6
06/24/23,09:47PM,06/24/23-09:47PM,50.25,30.01,75.2
06/24/23,08:47PM,06/24/23-08:47PM,56.95,30.02,73.4
06/24/23,07:47PM,06/24/23-07:47PM,53.62,30.03,75.2
06/24/23,06:51PM,06/24/23-06:51PM,53.36,30.03,73.4
06/24/23,05:54PM,06/24/23-05:54PM,50.25,30.05,75.2
06/24/23,04:49PM,06/24/23-04:49PM,53.36,30.05,73.4
06/24/23,03:47PM,06/24/23-03:47PM,60.27,30.04,69.8
06/24/23,02:49PM,06/24/23-02:49PM,82.89,30.05,68
06/24/23,01:52PM,06/24/23-01:52PM,93.65,30.03,55.4
06/24/23,02:58AM,06/24/23-02:58AM,72.42,30,62.6
06/24/23,01:50AM,06/24/23-01:50AM,67.99,29.98,64.4
06/24/23,12:48AM,06/24/23-12:48AM,60.03,29.98,68
06/23/23,11:50PM,06/23/23-11:50PM,60.03,29.99,68
06/23/23,10:47PM,06/23/23-10:47PM,56.44,30,69.8
06/23/23,09:47PM,06/23/23-09:47PM,52.83,30.01,69.8
06/23/23,08:52PM,06/23/23-08:52PM,49.7,30.02,71.6
06/23/23,06:48PM,06/23/23-06:48PM,40.92,30.05,73.4
06/23/23,05:55PM,06/23/23-05:55PM,43.48,30.06,71.6
06/23/23,04:47PM,06/23/23-04:47PM,49.43,30.07,69.8
06/23/23,03:51PM,06/23/23-03:51PM,63.87,30.07,66.2
06/23/23,02:49PM,06/23/23-02:49PM,82.52,30.06,62.6
06/23/23,01:50PM,06/23/23-01:50PM,87.85,30.04,59
06/23/23,02:47AM,06/23/23-02:47AM,67.79,29.97,62.6
06/23/23,01:48AM,06/23/23-01:48AM,67.99,29.97,64.4
06/23/23,12:58AM,06/23/23-12:58AM,59.79,29.96,66.2
06/22/23,11:52PM,06/22/23-11:52PM,56.19,29.96,68
06/22/23,10:49PM,06/22/23-10:49PM,52.83,29.96,69.8
06/22/23,09:02PM,06/22/23-09:02PM,44.05,29.98,75.2
06/22/23,08:47PM,06/22/23-08:47PM,44.05,29.98,75.2
06/22/23,07:50PM,06/22/23-07:50PM,46.78,29.98,73.4
06/22/23,06:52PM,06/22/23-06:52PM,44.05,29.98,75.2
06/22/23,05:52PM,06/22/23-05:52PM,49.43,29.98,69.8
06/22/23,04:51PM,06/22/23-04:51PM,56.44,29.98,69.8
06/22/23,03:47PM,06/22/23-03:47PM,88.11,29.99,64.4
06/22/23,02:47PM,06/22/23-02:47PM,82.4,29.97,60.8
06/22/23,01:51PM,06/22/23-01:51PM,93.75,29.95,59
06/22/23,02:47AM,06/22/23-02:47AM,67.99,29.93,64.4
06/22/23,01:47AM,06/22/23-01:47AM,52.83,29.92,69.8
06/22/23,12:47AM,06/22/23-12:47AM,56.7,29.92,71.6
06/21/23,11:47PM,06/21/23-11:47PM,60.51,29.93,71.6
06/21/23,10:47PM,06/21/23-10:47PM,56.95,29.95,73.4
06/21/23,09:48PM,06/21/23-09:48PM,56.95,29.95,73.4
06/21/23,08:50PM,06/21/23-08:50PM,50.78,29.95,78.8
06/21/23,07:47PM,06/21/23-07:47PM,53.62,29.97,75.2
06/21/23,06:49PM,06/21/23-06:49PM,50.52,29.97,77
06/21/23,05:47PM,06/21/23-05:47PM,47.61,29.97,78.8
06/21/23,04:58PM,06/21/23-04:58PM,50.25,29.97,75.2
06/21/23,03:48PM,06/21/23-03:48PM,56.95,29.98,73.4
06/21/23,02:51PM,06/21/23-02:51PM,68.41,29.98,68
06/21/23,01:47PM,06/21/23-01:47PM,82.4,29.97,60.8
06/21/23,02:47AM,06/21/23-02:47AM,67.99,29.97,64.4
06/21/23,01:47AM,06/21/23-01:47AM,64.1,29.96,68
06/21/23,12:47AM,06/21/23-12:47AM,46.78,29.97,73.4
06/20/23,11:48PM,06/20/23-11:48PM,50.25,29.98,75.2
06/20/23,10:48PM,06/20/23-10:48PM,56.95,29.99,73.4
06/20/23,09:47PM,06/20/23-09:47PM,60.75,30,73.4
06/20/23,08:56PM,06/20/23-08:56PM,60.75,30,73.4
06/20/23,07:47PM,06/20/23-07:47PM,57.2,30,75.2
06/20/23,06:47PM,06/20/23-06:47PM,56.95,30,73.4
06/20/23,05:47PM,06/20/23-05:47PM,56.95,30,73.4
06/20/23,04:55PM,06/20/23-04:55PM,56.95,30.01,73.4
06/20/23,03:47PM,06/20/23-03:47PM,56.7,30.01,71.6
06/20/23,02:49PM,06/20/23-02:49PM,60.27,30.01,69.8
06/20/23,01:55PM,06/20/23-01:55PM,88.02,29.99,62.6
06/20/23,02:47AM,06/20/23-02:47AM,72.6,29.95,64.4
06/20/23,01:47AM,06/20/23-01:47AM,77.48,29.94,64.4
06/20/23,12:47AM,06/20/23-12:47AM,77.48,29.94,64.4
06/20/23,12:00AM,06/20/23-12:00AM,64.32,29.94,69.8
06/19/23,11:49PM,06/19/23-11:49PM,64.32,29.94,69.8
06/19/23,10:47PM,06/19/23-10:47PM,60.51,29.94,71.6
06/19/23,09:47PM,06/19/23-09:47PM,60.75,29.95,73.4
06/19/23,08:22PM,06/19/23-08:22PM,60.51,29.97,71.6
06/19/23,07:47PM,06/19/23-07:47PM,64.54,29.97,71.6
06/19/23,06:49PM,06/19/23-06:49PM,60.51,29.97,71.6
06/19/23,06:39PM,06/19/23-06:39PM,64.32,29.97,69.8
06/19/23,05:47PM,06/19/23-05:47PM,64.32,29.98,69.8
06/19/23,04:47PM,06/19/23-04:47PM,77.64,29.97,66.2
06/19/23,03:47PM,06/19/23-03:47PM,82.65,29.96,64.4
06/19/23,02:47PM,06/19/23-02:47PM,88.02,29.95,62.6
06/19/23,02:30PM,06/19/23-02:30PM,88.02,29.94,62.6
06/19/23,01:49PM,06/19/23-01:49PM,82.52,29.94,62.6
06/19/23,02:47AM,06/19/23-02:47AM,72.6,29.89,64.4
06/19/23,01:59AM,06/19/23-01:59AM,56.7,29.88,71.6
06/18/23,11:50PM,06/18/23-11:50PM,53.62,29.89,75.2
06/18/23,10:47PM,06/18/23-10:47PM,56.95,29.9,73.4
06/18/23,09:47PM,06/18/23-09:47PM,60.51,29.91,71.6
06/18/23,08:47PM,06/18/23-08:47PM,56.95,29.92,73.4
06/18/23,07:47PM,06/18/23-07:47PM,64.32,29.94,69.8
06/18/23,06:47PM,06/18/23-06:47PM,64.32,29.94,69.8
06/18/23,05:50PM,06/18/23-05:50PM,77.64,29.94,66.2
06/18/23,04:47PM,06/18/23-04:47PM,82.65,29.94,64.4
06/18/23,03:47PM,06/18/23-03:47PM,82.65,29.95,64.4
06/18/23,02:56PM,06/18/23-02:56PM,88.02,29.94,62.6
06/18/23,01:51PM,06/18/23-01:51PM,93.84,29.92,62.6
06/18/23,02:55AM,06/18/23-02:55AM,88.02,29.93,62.6
06/18/23,01:55AM,06/18/23-01:55AM,77.48,29.92,64.4
06/18/23,12:48AM,06/18/23-12:48AM,73.15,29.91,69.8
06/17/23,11:47PM,06/17/23-11:47PM,68.81,29.91,71.6
06/17/23,10:47PM,06/17/23-10:47PM,64.76,29.92,73.4
06/17/23,09:50PM,06/17/23-09:50PM,64.54,29.94,71.6
06/17/23,08:47PM,06/17/23-08:47PM,68.81,29.94,71.6
06/17/23,07:47PM,06/17/23-07:47PM,64.76,29.96,73.4
06/17/23,06:47PM,06/17/23-06:47PM,64.76,29.96,73.4
06/17/23,05:47PM,06/17/23-05:47PM,64.76,29.97,73.4
06/17/23,04:47PM,06/17/23-04:47PM,64.76,29.98,73.4
06/17/23,03:47PM,06/17/23-03:47PM,68.81,29.99,71.6
06/17/23,02:47PM,06/17/23-02:47PM,82.77,29.99,66.2
06/17/23,01:52PM,06/17/23-01:52PM,93.8,29.99,60.8
06/17/23,02:50AM,06/17/23-02:50AM,82.52,29.97,62.6
06/17/23,01:50AM,06/17/23-01:50AM,72.78,29.96,66.2
06/17/23,12:47AM,06/17/23-12:47AM,72.78,29.95,66.2
06/16/23,11:47PM,06/16/23-11:47PM,64.32,29.96,69.8
06/16/23,10:47PM,06/16/23-10:47PM,64.54,29.97,71.6
06/16/23,09:49PM,06/16/23-09:49PM,64.54,29.97,71.6
06/16/23,08:47PM,06/16/23-08:47PM,64.54,29.98,71.6
06/16/23,07:47PM,06/16/23-07:47PM,64.54,29.99,71.6
06/16/23,06:48PM,06/16/23-06:48PM,77.64,30,66.2
06/16/23,05:48PM,06/16/23-05:48PM,77.64,29.99,66.2
06/16/23,04:47PM,06/16/23-04:47PM,77.64,29.99,66.2
06/16/23,03:50PM,06/16/23-03:50PM,88.11,29.99,64.4
06/16/23,02:47PM,06/16/23-02:47PM,88.02,29.97,62.6
06/16/23,01:52PM,06/16/23-01:52PM,88.02,29.97,62.6
06/16/23,02:52AM,06/16/23-02:52AM,82.52,29.9,62.6
06/16/23,01:52AM,06/16/23-01:52AM,77.48,29.89,64.4
06/16/23,12:52AM,06/16/23-12:52AM,72.78,29.89,66.2
